year,season,area,age,length
2014,3,1,11,116
2014,2,2,26,130
2014,2,2,22,134
2014,3,2,11,102
2014,3,2,11,104
2014,3,2,10,106
2014,3,2,11,106
2014,3,2,10,110
2014,3,2,14,114
2015,1,2,13,104
2015,1,2,10,110
2015,1,2,14,126
2015,2,2,7,86
2015,2,2,11,94
2015,2,2,10,108
2015,2,2,14,110
2015,2,2,18,122
2015,2,2,17,124
2015,2,2,22,136
2015,3,2,7,84
2015,3,2,8,86
2015,3,2,7,88
2015,3,2,8,92
2015,3,2,8,96
2015,3,2,10,100
2015,3,2,9,102
2015,3,2,11,104
2015,3,2,12,110
2015,3,2,15,116
2015,3,2,13,124
2015,3,2,18,124
2015,3,2,18,128
2015,3,2,21,130
2015,3,2,31,136
2010,1,3,39,170
2010,1,3,40,174
2010,3,3,21,150
2011,3,3,22,144
2011,4,3,22,130
2011,4,3,19,134
2011,4,3,26,142
2011,4,3,30,142
2011,4,3,33,148
2011,4,3,34,160
2012,4,3,40,146
2012,4,3,40,148
2013,4,3,17,122
2014,1,3,10,104
2014,1,3,12,108
2014,1,3,14,120
2014,1,3,20,130
2014,1,3,40,132
2014,2,3,5,66
2014,2,3,8,90
2014,2,3,9,90
2014,2,3,7,92
2014,2,3,8,94
2014,2,3,8,94
2014,2,3,8,94
2014,2,3,9,94
2014,2,3,11,94
2014,2,3,11,94
2014,2,3,8,96
2014,2,3,8,96
2014,2,3,12,96
2014,2,3,9,98
2014,2,3,10,98
2014,2,3,11,102
2014,2,3,10,104
2014,2,3,12,110
2014,2,3,14,112
2014,2,3,16,112
2014,2,3,13,114
2014,2,3,13,114
2014,2,3,14,122
2014,2,3,15,124
2014,2,3,15,124
2014,2,3,18,124
2014,2,3,22,124
2014,2,3,18,126
2014,2,3,18,128
2014,2,3,19,128
2014,2,3,23,128
2014,2,3,17,130
2014,2,3,18,130
2014,2,3,20,132
2014,2,3,20,132
2014,2,3,27,134
2014,2,3,22,140
2014,2,3,22,140
2014,2,3,23,142
2014,2,3,30,144
2014,2,3,34,148
2014,2,3,28,154
2014,3,3,7,80
2014,3,3,7,88
2014,3,3,7,90
2014,3,3,7,90
2014,3,3,11,90
2014,3,3,8,92
2014,3,3,8,94
2014,3,3,9,94
2014,3,3,9,94
2014,3,3,9,96
2014,3,3,10,96
2014,3,3,9,98
2014,3,3,10,98
2014,3,3,10,98
2014,3,3,11,98
2014,3,3,12,98
2014,3,3,10,100
2014,3,3,11,100
2014,3,3,12,100
2014,3,3,9,102
2014,3,3,11,102
2014,3,3,12,102
2014,3,3,13,102
2014,3,3,10,104
2014,3,3,12,104
2014,3,3,11,106
2014,3,3,14,106
2014,3,3,10,108
2014,3,3,11,108
2014,3,3,13,112
2014,3,3,15,112
2014,3,3,15,112
2014,3,3,14,114
2014,3,3,12,120
2014,3,3,18,120
2014,3,3,15,122
2014,3,3,15,124
2014,3,3,24,134
2014,3,3,26,140
2014,3,3,33,150
2014,4,3,7,78
2014,4,3,8,80
2014,4,3,7,82
2014,4,3,6,84
2014,4,3,7,84
2014,4,3,7,84
2014,4,3,8,84
2014,4,3,8,86
2014,4,3,8,86
2014,4,3,8,88
2014,4,3,7,90
2014,4,3,9,90
2014,4,3,11,90
2014,4,3,8,92
2014,4,3,7,96
2014,4,3,10,96
2014,4,3,10,96
2014,4,3,7,98
2014,4,3,11,98
2014,4,3,9,100
2014,4,3,9,100
2014,4,3,9,100
2014,4,3,10,100
2014,4,3,14,100
2014,4,3,10,102
2014,4,3,11,102
2014,4,3,11,102
2014,4,3,11,102
2014,4,3,10,104
2014,4,3,10,104
2014,4,3,11,104
2014,4,3,12,104
2014,4,3,13,106
2014,4,3,11,108
2014,4,3,11,108
2014,4,3,13,108
2014,4,3,13,108
2014,4,3,13,108
2014,4,3,10,110
2014,4,3,12,110
2014,4,3,12,110
2014,4,3,14,110
2014,4,3,16,110
2014,4,3,11,112
2014,4,3,14,114
2014,4,3,14,114
2014,4,3,10,116
2014,4,3,12,116
2014,4,3,13,116
2014,4,3,13,116
2014,4,3,14,118
2014,4,3,18,120
2014,4,3,11,122
2014,4,3,14,122
2014,4,3,15,122
2014,4,3,15,122
2014,4,3,18,122
2014,4,3,22,122
2014,4,3,14,124
2014,4,3,20,126
2014,4,3,18,130
2014,4,3,22,130
2014,4,3,26,130
2014,4,3,22,132
2014,4,3,22,134
2014,4,3,22,136
2014,4,3,26,136
2014,4,3,29,138
2014,4,3,30,144
2014,4,3,39,144
2014,4,3,23,146
2015,1,3,8,78
2015,1,3,6,80
2015,1,3,6,82
2015,1,3,7,82
2015,1,3,9,82
2015,1,3,8,84
2015,1,3,8,86
2015,1,3,7,88
2015,1,3,7,88
2015,1,3,8,88
2015,1,3,8,88
2015,1,3,8,88
2015,1,3,9,88
2015,1,3,7,90
2015,1,3,7,90
2015,1,3,8,90
2015,1,3,8,90
2015,1,3,8,90
2015,1,3,9,92
2015,1,3,10,92
2015,1,3,8,96
2015,1,3,9,96
2015,1,3,10,96
2015,1,3,11,96
2015,1,3,8,98
2015,1,3,10,98
2015,1,3,10,100
2015,1,3,10,102
2015,1,3,10,102
2015,1,3,11,102
2015,1,3,9,104
2015,1,3,11,104
2015,1,3,15,106
2015,1,3,11,108
2015,1,3,11,108
2015,1,3,11,108
2015,1,3,12,108
2015,1,3,12,108
2015,1,3,14,108
2015,1,3,14,110
2015,1,3,15,110
2015,1,3,15,110
2015,1,3,13,112
2015,1,3,13,114
2015,1,3,13,118
2015,1,3,14,118
2015,1,3,15,118
2015,1,3,19,118
2015,1,3,15,120
2015,1,3,18,120
2015,1,3,19,120
2015,1,3,13,122
2015,1,3,17,122
2015,1,3,18,122
2015,1,3,18,122
2015,1,3,19,122
2015,1,3,18,124
2015,1,3,26,124
2015,1,3,20,128
2015,1,3,30,128
2015,1,3,18,132
2015,1,3,31,132
2015,1,3,30,136
2015,1,3,25,138
2015,1,3,23,140
2015,1,3,27,140
2015,1,3,32,140
2015,1,3,22,142
2015,1,3,34,144
2015,1,3,22,146
2015,1,3,40,146
2015,1,3,22,152
2015,1,3,27,156
2015,2,3,8,82
2015,2,3,9,82
2015,2,3,7,84
2015,2,3,7,84
2015,2,3,7,86
2015,2,3,8,86
2015,2,3,8,88
2015,2,3,8,88
2015,2,3,9,88
2015,2,3,8,90
2015,2,3,8,90
2015,2,3,7,92
2015,2,3,8,92
2015,2,3,9,92
2015,2,3,9,92
2015,2,3,8,94
2015,2,3,11,94
