fishery,age,sel
1,1,0
1,2,1e-04
1,3,0.0011
1,4,0.0108
1,5,0.0589
1,6,0.1946
1,7,0.425
1,8,0.6723
1,9,0.8594
1,10,0.9636
1,11,1
1,12,0.9943
1,13,0.9682
1,14,0.9349
1,15,0.9008
1,16,0.8688
1,17,0.8404
1,18,0.8159
1,19,0.7953
1,20,0.7782
1,21,0.7642
1,22,0.7528
1,23,0.7437
1,24,0.7364
1,25,0.7307
1,26,0.7261
1,27,0.7226
1,28,0.7199
1,29,0.7178
1,30,0.7163
1,31,0.7151
1,32,0.7143
1,33,0.7137
1,34,0.7134
1,35,0.7131
1,36,0.713
1,37,0.713
1,38,0.713
1,39,0.713
1,40,0.713
2,1,0
2,2,0
2,3,0.0015
2,4,0.0041
2,5,0.0248
2,6,0.1094
2,7,0.2765
2,8,0.4864
2,9,0.6851
2,10,0.8427
2,11,0.9454
2,12,0.9942
2,13,1
2,14,0.976
2,15,0.934
2,16,0.884
2,17,0.834
2,18,0.7884
2,19,0.7487
2,20,0.7152
2,21,0.6874
2,22,0.6647
2,23,0.6464
2,24,0.6316
2,25,0.6198
2,26,0.6104
2,27,0.6031
2,28,0.5973
2,29,0.5929
2,30,0.5894
2,31,0.5868
2,32,0.5849
2,33,0.5834
2,34,0.5824
2,35,0.5817
2,36,0.5812
2,37,0.5809
2,38,0.5809
2,39,0.5809
2,40,0.5809
3,1,0.002
3,2,0.0019
3,3,0.0026
3,4,0.0077
3,5,0.0355
3,6,0.1475
3,7,0.4145
3,8,0.7319
3,9,0.9391
3,10,1
3,11,0.9625
3,12,0.8835
3,13,0.7989
3,14,0.7237
3,15,0.6606
3,16,0.6091
3,17,0.5677
3,18,0.5346
3,19,0.5083
3,20,0.4875
3,21,0.471
3,22,0.4581
3,23,0.4479
3,24,0.44
3,25,0.4338
3,26,0.429
3,27,0.4253
3,28,0.4225
3,29,0.4204
3,30,0.4188
3,31,0.4176
3,32,0.4168
3,33,0.4162
3,34,0.4158
3,35,0.4156
3,36,0.4155
3,37,0.4154
3,38,0.4154
3,39,0.4154
3,40,0.4154
4,1,0
4,2,0
4,3,0
4,4,0
4,5,7e-04
4,6,0.0301
4,7,0.1442
4,8,0.2482
4,9,0.3192
4,10,0.4299
4,11,0.5857
4,12,0.758
4,13,0.906
4,14,0.9923
4,15,1
4,16,0.9433
4,17,0.8587
4,18,0.7709
4,19,0.6914
4,20,0.6241
4,21,0.5691
4,22,0.525
4,23,0.4901
4,24,0.4626
4,25,0.4411
4,26,0.4242
4,27,0.4111
4,28,0.401
4,29,0.3932
4,30,0.3872
