year,season,fishery,area,obs,pred
1952,1,33,1,5.05309031656387,4.98782528430484
1953,1,33,1,4.0349745726322,4.84525560305654
1954,1,33,1,4.17035014536897,4.73982398001722
1955,1,33,1,5.43033051273247,4.64596917692043
1956,1,33,1,6.54041095074285,5.34948342408358
1957,1,33,1,7.05685863545999,5.96554250831366
1958,1,33,1,6.03152571823029,5.39784608040629
1959,1,33,1,5.66326170952049,4.28448346560212
1960,1,33,1,4.25034433646899,3.94322927281256
1961,1,33,1,5.2593108444469,4.07552674126753
1962,1,33,1,3.04956817918268,3.20592288320281
1963,1,33,1,3.46946360042621,3.33675907806742
1964,1,33,1,4.18287998116139,3.04347513789662
1965,1,33,1,2.94173634336358,2.72372383230581
1966,1,33,1,3.94717447435738,2.60673896125156
1967,1,33,1,2.75936339737628,2.24072617814124
1968,1,33,1,2.1621433038019,2.1140382902816
1969,1,33,1,3.19312480489073,2.39408233793285
1970,1,33,1,2.3513743805749,1.96246237791206
1971,1,33,1,1.9299613947567,1.95795390117859
1972,1,33,1,2.30297093439224,2.09782270556601
1973,1,33,1,2.28919447947996,1.72099050487439
1974,1,33,1,2.10349448032135,2.12931429359126
1975,1,33,1,2.43026425900138,2.20736611146807
1976,1,33,1,2.12421006680881,1.85206271677508
1977,1,33,1,3.47988761943799,2.62820209933498
1978,1,33,1,2.86910461425648,2.67834750035774
1979,1,33,1,1.98694841105677,2.2317811753609
1980,1,33,1,2.04705054785187,2.15652903292686
1981,1,33,1,1.84743834285907,1.87685968522146
1982,1,33,1,1.84153598896482,1.84300980720469
1983,1,33,1,1.60415959079006,1.82686247337413
1984,1,33,1,1.67481045888591,2.03399125864675
1985,1,33,1,1.82521903680549,1.80236555622017
1986,1,33,1,2.08861256283455,1.61866219091532
1987,1,33,1,2.38500208844929,2.02729015040307
1988,1,33,1,2.1950394082267,1.98953312369034
1989,1,33,1,1.8135749358382,1.70029199826879
1990,1,33,1,2.3020499302316,2.15071425801656
1991,1,33,1,2.36221561845596,2.14277131876109
1992,1,33,1,2.44733578946231,1.96403297596985
1993,1,33,1,2.26664326682249,1.69876242388207
1994,1,33,1,2.0323647163435,1.68961383022704
1995,1,33,1,1.86488613945218,1.71823912176005
1996,1,33,1,1.30957152034053,1.34285776027528
1997,1,33,1,1.79768549249328,1.44267640055029
1998,1,33,1,1.66462521167344,1.41326128262287
1999,1,33,1,1.49107897173946,1.39319545885847
2000,1,33,1,1.38085103345108,1.31009545372836
2001,1,33,1,1.27762131320489,1.25345031397933
2002,1,33,1,1.60143483618335,1.52165719374471
2003,1,33,1,1.57302418651418,1.49990234101698
2004,1,33,1,1.09944993979121,1.5717662703985
2005,1,33,1,1.13666666368028,1.45863344379433
2006,1,33,1,1.99551068492008,1.77287052769331
2007,1,33,1,1.53127389486662,1.60785340410584
2008,1,33,1,1.30330063919773,1.32009011076587
2009,1,33,1,1.23948999418518,1.31350613387089
2010,1,33,1,1.25533190028723,1.26579451484598
2011,1,33,1,1.21421769865521,1.33629385195858
2012,1,33,1,1.44166688044317,1.26769463134935
2013,1,33,1,1.15546169496375,1.03274468414504
2014,1,33,1,1.55410528404312,1.3786434383446
2015,1,33,1,2.01980303654876,1.57050936021329
2016,1,33,1,1.36397059326638,1.31153735162591
2017,1,33,1,1.20852426552006,1.13951188538473
2018,1,33,1,1.66662396093716,1.3918029597652
2019,1,33,1,1.66562428649292,1.63117399842559
2020,1,33,1,1.43605532924691,1.36056492564153
2021,1,33,1,1.55893048562192,1.23627150604796
1954,2,33,1,3.25763020482219,3.60384020309779
1955,2,33,1,3.28379576916863,3.69876877219411
1956,2,33,1,2.70770117501325,4.22914565565259
1957,2,33,1,3.39736455442078,4.55397282344148
1958,2,33,1,3.92356233476639,3.99482590481663
1959,2,33,1,2.5795113970234,3.13302815962437
1960,2,33,1,2.65143234095998,3.17085098059291
1961,2,33,1,3.18674493727518,2.9535268540377
1962,2,33,1,1.73169379190824,2.50803605835036
1963,2,33,1,2.8462433443487,2.54950698178198
