year,season,fishery,area,obs,pred
1952,4,33,1,6.03152571823029,4.94313625901043
1953,4,33,1,4.54942112684564,4.82591329105806
1954,4,33,1,5.89438380434013,4.60894969885433
1955,4,33,1,6.74633908515192,5.2698399917734
1956,4,33,1,8.31449186388466,6.01345825581981
1957,4,33,1,7.95658589352187,5.66892780380498
1958,4,33,1,5.4466459652128,4.59514356930669
1959,4,33,1,4.38416856959395,3.88063965661658
1960,4,33,1,4.82591329105806,4.27592306192805
1961,4,33,1,4.30595952834521,3.35683981450295
1962,4,33,1,2.99516703111309,3.37029406432161
1963,4,33,1,3.31348332470031,3.12052107782557
1964,4,33,1,3.42122953628967,2.83204764644607
1965,4,33,1,4.15785784275601,2.65328899335118
1952,3,33,1,4.66925719433188,4.57679970721213
1953,3,33,1,3.96695976874579,4.45933655284783
1954,3,33,1,3.89619330179521,4.28448346560212
1955,3,33,1,4.12472767736953,4.66925719433188
1956,3,33,1,5.05309031656387,5.37629782133381
1957,3,33,1,5.41406393326341,5.37629782133381
1958,3,33,1,4.65992801223504,4.48617300100007
1959,3,33,1,3.54663760098212,3.6002381642143
1960,3,33,1,3.66196540798739,3.93535069547047
1961,3,33,1,2.84339852365177,3.3002558639596
1962,3,33,1,2.72100146988158,3.05873062051039
1963,3,33,1,2.94762570344727,2.94762570344727
1964,3,33,1,1.85169234127051,2.69150360925312
1965,3,33,1,1.6601367857037,2.46009508097452
1952,2,33,1,2.83488111058847,3.82668923555868
1953,2,33,1,3.50433228930293,3.70988173962711
1994,2,33,1,1.24172308535383,1.38985579895214
1995,2,33,1,1.14339281964465,1.26566794172325
1996,2,33,1,0.769126364368571,1.06776747842102
1997,2,33,1,0.74923694277321,1.10893489433078
1998,2,33,1,0.851547497040458,1.12885065992382
1999,2,33,1,1.20021415095358,1.04867766097921
2000,2,33,1,1.02294937608283,1.03089772468229
2001,2,33,1,0.95246682688985,1.00589128576696
2002,2,33,1,0.975875755856157,1.23800349826809
2003,2,33,1,1.37204180643226,1.11349086074654
1964,2,33,1,3.03435839443568,2.3233265117943
1965,2,33,1,1.97210204145215,2.0709345938546
1966,2,33,1,1.95658381303456,1.98714711583294
1967,2,33,1,2.22754481694265,1.64000616340037
1968,2,33,1,1.43519395448763,1.73100125290851
1969,2,33,1,2.01274608279388,1.8009242403784
1970,2,33,1,1.28069128685137,1.46932042796718
1971,2,33,1,1.48408734376843,1.57522796265865
1972,2,33,1,1.65433646343886,1.55971014576352
1973,2,33,1,1.4244702639358,1.38707886521362
1974,2,33,1,1.41949333272226,1.73654932910538
1975,2,33,1,1.67698912831076,1.69012079041634
1976,2,33,1,1.6350935175634,1.44860351607648
1977,2,33,1,2.64137601718062,2.23535488344556
1978,2,33,1,2.53577674907312,1.96305120494507
1979,2,33,1,1.78318305417128,1.75663491716199
1980,2,33,1,2.0450045204882,1.63345924132015
1981,2,33,1,1.37795428892714,1.46360123796768
1982,2,33,1,1.41467525077174,1.43576814690025
1983,2,33,1,1.13996778131199,1.45717553942421
1984,2,33,1,1.74769888533446,1.58565885128055
1985,2,33,1,1.34245496336975,1.35404986265853
1986,2,33,1,1.61300677599646,1.30225841563138
1987,2,33,1,1.91745732793266,1.66662396093716
1988,2,33,1,1.32644177509675,1.47949379667941
1989,2,33,1,1.34111317941018,1.4022807244666
1990,2,33,1,1.62498729940437,1.75189840006117
1991,2,33,1,2.04541356229512,1.64674399177991
1992,2,33,1,1.75102266981194,1.51679567330593
1993,2,33,1,1.4012994714381,1.2837686372832
1966,3,33,1,2.71719473316122,2.3085047025003
1967,3,33,1,1.93054047003207,1.9295754410744
1968,3,33,1,1.56768498606422,2.16885634788599
1969,3,33,1,2.19855428242938,2.05114874577944
1970,3,33,1,1.58676920105352,1.77979822297626
1971,3,33,1,1.28120366583507,1.95326044621458
1972,3,33,1,1.8529889796799,1.71858280395147
1973,3,33,1,1.42091353603829,1.73481364776159
1974,3,33,1,1.73464017507059,2.05053349344817
1975,3,33,1,1.73359970313834,1.89212398563094
2004,2,33,1,1.04972686315385,1.2708678327768
2005,2,33,1,0.894401946736435,1.0948419336308
2006,2,33,1,1.79894431287376,1.47432461972756
2007,2,33,1,1.01148545713619,1.18033701071282
2008,2,33,1,0.973497521637536,1.02118120357243
2009,2,33,1,0.752315120190273,1.05455618426897
2010,2,33,1,0.884086827512403,0.981552281250582
2011,2,33,1,0.945785008027721,1.08778117251322
2012,2,33,1,0.725205656655626,0.941453802561604
2013,2,33,1,0.603384886381262,0.823246178256523
2014,2,33,1,0.982131567969298,1.17445005531224
2015,2,33,1,1.04761903123964,1.2075578327323
2016,2,33,1,0.608048883350721,0.968245120600924
2017,2,33,1,0.75163834117834,0.925454787623815
2018,2,33,1,0.781609518580945,1.17515493678873
2019,2,33,1,0.712339966848073,1.25457892706162
2020,2,33,1,0.71820516904057,1.04267549390444
2021,2,33,1,0.800114849294554,0.943829257960772
1968,4,33,1,2.9653646212045,2.41379452260725
1969,4,33,1,2.46132543607815,2.09677405639736
1970,4,33,1,2.37714455362058,1.94293555099083
1971,4,33,1,2.99816369622704,2.14105778721009
1972,4,33,1,2.78152684012137,1.74909760385554
1973,4,33,1,2.12697333563124,2.00832290868727
1974,4,33,1,2.45100954777641,2.22465089014061
1975,4,33,1,2.36836537027696,1.94760419644681
1976,4,33,1,3.19631952679034,2.31729370890587
1977,4,33,1,3.50082970859587,2.81792274988211
1978,4,33,1,2.28576326181734,2.24162264789449
1979,4,33,1,2.30320124300092,2.20869092854033
2006,3,33,1,1.78693167325747,1.68320548124662
2007,3,33,1,1.26769463134935,1.29874706037193
2008,3,33,1,1.06832286189699,1.18293661064781
2009,3,33,1,1.0035191778166,1.23232176019242
2010,3,33,1,0.980247684465689,1.14304985324629
2011,3,33,1,1.0059657244763,1.26503526593452
2012,3,33,1,0.950820483776735,1.04171667357503
2013,3,33,1,0.726076425800608,1.03256913247105
2014,3,33,1,1.35283176600785,1.42518267715623
2015,3,33,1,0.917117206257156,1.35513353596018
1976,3,33,1,2.11742345895882,1.87273513258544
1977,3,33,1,2.43927289245423,2.66445624192942
1978,3,33,1,1.98694841105677,2.15609777024798
1979,3,33,1,1.98953312369034,2.06473109996649
1980,3,33,1,1.89363829046061,1.83914354760299
1981,3,33,1,2.45468882086303,1.71274954457834
1982,3,33,1,1.75979970746966,1.68893811984604
1983,3,33,1,1.66912577276835,1.78193526281129
1984,3,33,1,1.8356524924152,1.81593411638989
1985,3,33,1,1.44947293898692,1.56423987011196
1986,3,33,1,1.97170766048327,1.62677576891161
1987,3,33,1,1.58391558551609,1.96914610589588
1988,3,33,1,1.2198159662128,1.64394690519112
1989,3,33,1,1.8266797962608,1.7485729532759
1990,3,33,1,2.23938214568441,2.04459556048147
1991,3,33,1,1.44094622718127,1.86339482714507
1966,4,33,1,2.74834798929016,2.3988752939671
1967,4,33,1,2.51381118012874,2.08131519670475
1994,3,33,1,1.47579968175538,1.64905104793089
1995,3,33,1,1.16520845227127,1.36478922118616
1996,3,33,1,1.20081440808083,1.2991367429395
1997,3,33,1,1.42162417045011,1.30369168804388
1998,3,33,1,1.19997413212607,1.3611092604715
1999,3,33,1,1.14958384158579,1.22238027131983
2000,3,33,1,0.995413550032143,1.20117470644531
2001,3,33,1,1.02499732209837,1.24458233532716
2002,3,33,1,1.39417103709222,1.48438419092091
2003,3,33,1,0.994255562739256,1.31534633029524
2004,3,33,1,1.73707037205665,1.49421352771194
2005,3,33,1,1.35825393017066,1.34004071790845
2018,4,33,1,2.07528812611064,1.61203926221402
2019,4,33,1,1.75049744179914,1.4145337903198
1980,4,33,1,1.71446315078322,1.91458329800209
1981,4,33,1,1.87986506437999,1.85002656787384
1982,4,33,1,2.10475695571429,1.82631449683271
1983,4,33,1,2.23446092029673,1.99311750829134
1984,4,33,1,2.35891083048149,1.88457060651781
1985,4,33,1,1.91056689177885,1.64559167434382
1986,4,33,1,2.86051019848318,1.88136955814876
1987,4,33,1,2.13165782802184,2.08214788931085
2016,3,33,1,0.800675125762946,1.07787337209702
2017,3,33,1,1.00134390222835,1.13484945117607
2018,3,33,1,1.16859246122422,1.43864255664566
2019,3,33,1,1.29382118663009,1.38527683426274
2020,3,33,1,1.06634829164313,1.19937429503178
2021,3,33,1,0.919109511464086,1.08244243321244
1994,4,33,1,2.08131519670475,1.77198431400135
1995,4,33,1,1.56674465719945,1.37850558089375
1996,4,33,1,2.09572593142224,1.43993791777171
1997,4,33,1,2.02141952548736,1.39808018625092
1998,4,33,1,1.79660720471647,1.45164877986809
1999,4,33,1,1.91592397549307,1.30682430573276
2000,4,33,1,1.46213836828646,1.26845547635884
2001,4,33,1,1.90942089547705,1.42917878058628
2002,4,33,1,2.07362855952489,1.57255235003723
2003,4,33,1,1.56580489236278,1.48468109744876
1992,3,33,1,1.4570298291559,1.72409107746134
1993,3,33,1,1.27226655654989,1.48067786528104
2006,4,33,1,2.25105726183605,1.72340157893925
2007,4,33,1,1.55674950998122,1.34729651079438
2008,4,33,1,1.80326696433153,1.28043517420611
2009,4,33,1,2.02040906835995,1.30225841563138
2010,4,33,1,1.64855640681639,1.26845547635884
2011,4,33,1,1.541259593546,1.32591130448791
2012,4,33,1,1.07913522198061,1.06549555415029
2013,4,33,1,1.38916104475569,1.23145943680868
2014,4,33,1,2.16127861942878,1.56330160769676
2015,4,33,1,1.51119389898787,1.39124634991069
2016,4,33,1,1.95267455596865,1.12975410178032
2017,4,33,1,1.72150687947817,1.29330376164733
1991,4,33,1,2.54136159900345,1.97644544193203
1992,4,33,1,2.39001585544782,1.78550269958454
2020,4,33,1,1.5920141888871,1.27099492591463
2021,4,33,1,1.60399918285151,1.16357830180968
1990,4,33,1,3.10806392443059,2.17950982369053
2004,4,33,1,2.1140382902816,1.55799540788192
1988,4,33,1,2.0525850525502,1.70301464300097
1989,4,33,1,2.76765391713015,2.01859151821867
2005,4,33,1,1.98615379062702,1.59408515316778
1993,4,33,1,1.81230587760531,1.61316808473936
1956,1,34,2,13.4234073471764,14.7316759204426
1957,1,34,2,16.444646771097,14.7316759204426
1960,1,34,2,12.692356983754,9.43097985953866
1961,1,34,2,11.623163959128,9.41213674921095
1958,1,34,2,14.2249860593305,11.336187018468
1959,1,34,2,14.1257588572997,9.1431046039947
1967,1,34,2,7.84596981031845,5.46301043754358
1968,1,34,2,5.51791460522345,5.08349999627339
1969,1,34,2,7.63696291553403,5.3334590224321
1970,1,34,2,6.19040182639043,5.26457278582354
1971,1,34,2,4.60894969885433,5.05309031656387
1972,1,34,2,4.88417311035035,4.3362069876408
1973,1,34,2,5.85326719373954,3.50433228930293
1974,1,34,2,3.84971838934598,3.6002381642143
1975,1,34,2,3.91572305199272,3.61105509599192
1976,1,34,2,4.69266194341637,3.36692545484274
1952,1,34,2,10.114803056599,12.0975142788651
1953,1,34,2,10.7725367288167,12.1096178439178
1952,2,34,2,11.1228327490456,12.7687400456933
1953,2,34,2,7.53832493366192,12.75597768789
1954,2,34,2,8.14170811387433,12.7943030802983
1955,2,34,2,9.83551682472252,13.5177008408029
1956,2,34,2,8.37289748812726,15.8790399906138
1957,2,34,2,10.4541601534675,14.8055187532877
1958,2,34,2,13.3831974701079,11.2233900729837
1959,2,34,2,9.61188160132218,9.44986069379839
1960,2,34,2,9.62149829046669,10.2676687287686
1961,2,34,2,9.22576395455833,9.34648185219663
1962,2,34,2,8.24824128462666,7.65990820500588
1963,2,34,2,5.81825273898467,6.88951024158129
1964,2,34,2,4.95798793416143,6.60614317359694
1965,2,34,2,4.1454029608917,6.71940762763495
1954,1,34,2,9.68908505620096,12.1824939607035
1955,1,34,2,13.1576060729585,12.3049300605104
1968,2,34,2,3.50783837434258,5.45755015770098
1969,2,34,2,3.46599587097949,5.65194650507763
1970,2,34,2,2.95648185814754,5.4739473917272
1971,2,34,2,3.064854203293,5.20697982717985
1972,2,34,2,3.19951744500975,4.3362069876408
1973,2,34,2,4.18287998116139,3.68032108598133
1974,2,34,2,3.00717169255421,3.89229905594087
1962,1,34,2,8.59344754943544,7.48574091789935
1963,1,34,2,7.85381970442166,6.7059822422402
1964,1,34,2,7.24274298516101,6.17185844988355
1965,1,34,2,7.25724296627913,6.3980931457862
1966,1,34,2,8.29787949806017,6.03756026071688
1952,3,34,2,14.2962890986776,12.1460012452641
1953,3,34,2,8.89954364873116,12.1581533215348
1954,3,34,2,9.7766804095289,12.0492208729526
1955,3,34,2,9.96421325778918,13.5312253027476
1956,3,34,2,9.97418245481472,15.3022518912078
1957,3,34,2,9.33714004202801,13.2500324303126
1958,3,34,2,10.4228446697193,10.054295941127
1959,3,34,2,7.98049149167047,8.98898554937376
1960,3,34,2,7.65225212547864,9.92443601228535
1961,3,34,2,8.19890000877021,8.33113748768769
1962,3,34,2,5.97151103458773,7.12778124383572
1963,3,34,2,5.17065824224986,6.36618252309443
1964,3,34,2,3.23814294383796,6.35346288192929
1965,3,34,2,4.46826415057538,6.3154562385876
1966,3,34,2,6.43016372113984,5.80662786225839
1967,3,34,2,4.69735695247307,5.16032726019108
1968,3,34,2,3.36692545484274,5.28567324976076
1969,3,34,2,4.5905507225435,5.37092421076557
1970,3,34,2,2.73737655483049,5.18100990694851
1971,3,34,2,3.90009144384319,4.80184394810459
1972,3,34,2,4.97785960273969,3.8612848855835
1973,3,34,2,2.53450917761785,3.51837769053541
1974,3,34,2,2.82356423498648,3.68032108598133
1975,3,34,2,3.18993327611618,3.56085256235552
1976,3,34,2,3.41781001679809,3.68032108598133
1977,3,34,2,4.95798793416143,4.93325986617737
1966,2,34,2,4.10415551225413,6.24636690793109
1967,2,34,2,4.68797162702201,5.55667551236142
1980,3,34,2,3.43150863583854,3.73220794169251
1981,3,34,2,2.89214950783889,3.45907080661025
1982,3,34,2,4.62279730898038,3.75842505011071
1983,3,34,2,2.87484856552161,3.88063965661658
1984,3,34,2,3.44526215909037,3.92748785953641
1985,3,34,2,3.45561346476268,3.84587059517437
1986,3,34,2,3.58228190145899,3.61466795721745
1987,3,34,2,3.2478719588953,3.84202664687367
1975,2,34,2,3.13302815962437,3.83818654059994
1976,2,34,2,4.65992801223504,3.64005939928356
1977,2,34,2,4.23761241089689,5.07334315650623
1978,2,34,2,3.71359347692608,4.86467543924804
1979,2,34,2,3.47988761943799,4.53579331540313
1980,2,34,2,3.79619784983765,4.12060501136872
1981,2,34,2,2.74560101501692,3.61466795721745
1982,2,34,2,3.05261927265434,3.90789943211649
1983,2,34,2,3.61105509599192,4.04305259710927
1984,2,34,2,2.90664646757544,4.1454029608917
1985,2,34,2,2.74285678634492,4.10826172052834
1986,2,34,2,3.57512449744588,3.82668923555868
1987,2,34,2,3.23167312992081,4.01886691114153
1988,2,34,2,3.01922446880657,3.72847759923291
1989,2,34,2,2.62032930812838,3.4418186189883
1977,1,34,2,4.28877009202371,4.41496541277858
1978,1,34,2,5.65194650507763,4.71147018259074
1979,1,34,2,4.41938258641007,4.28448346560212
1980,1,34,2,3.87288613341106,4.02691268805881
1981,1,34,2,3.22844307208897,3.42465247701108
1982,1,34,2,3.5537379741905,3.60384020309779
1983,1,34,2,4.10826172052834,3.78861304147461
1984,1,34,2,3.13616275482037,3.90789943211649
1985,1,34,2,3.12676836518616,3.90789943211649
1986,1,34,2,3.9118092861498,3.67664260444266
1987,1,34,2,3.7061737122102,3.69507185218999
1988,1,34,2,3.61105509599192,3.65830527295193
1989,1,34,2,3.31348332470031,3.18674493727518
1990,1,34,2,4.23761241089689,3.5537379741905
1991,1,34,2,4.11237203706461,3.38718773362133
1978,3,34,2,4.05114679380212,4.45487944522022
1979,3,34,2,3.90009144384319,4.26737976195194
1952,4,34,2,11.9412644178491,11.9771420005685
1953,4,34,2,8.84630625872088,12.0131273776468
1954,4,34,2,9.60227452406008,11.8342752116923
1955,4,34,2,12.591223202389,13.9572627496067
1956,4,34,2,11.7517245496094,14.9692784868679
1957,4,34,2,10.4228446697193,12.1217335185894
1958,4,34,2,14.1823750496253,9.41213674921095
1959,4,34,2,12.1096178439178,9.02501349943412
1960,4,34,2,11.3135373016977,9.68908505620096
1961,4,34,2,12.3789815732573,7.75238082954435
1962,4,34,2,8.64516322661666,6.86200724328222
1963,4,34,2,5.73736473781345,6.14722032518424
1964,4,34,2,6.5929440907323,6.32177485360714
1965,4,34,2,6.43016372113984,6.11656093590522
1966,4,34,2,7.77567289265861,5.59011578593555
1967,4,34,2,5.90028113631902,5.02788792346875
1968,4,34,2,6.04964746441295,5.2751124675637
1969,4,34,2,5.5957086977113,5.2751124675637
1970,4,34,2,4.97785960273969,5.08349999627339
1971,4,34,2,6.62599136051197,4.54033137737134
1972,4,34,2,5.97748553237333,3.60384020309779
1973,4,34,2,3.73967982697054,3.52189782800134
1974,4,34,2,4.28020112366435,3.6002381642143
1975,4,34,2,5.22784945792389,3.41781001679809
1976,4,34,2,4.66925719433188,3.98285938585551
1977,4,34,2,7.81464861522894,4.80664819377518
1978,4,34,2,5.04803975195049,4.28877009202371
1979,4,34,2,5.02788792346875,4.12472767736953
1980,4,34,2,3.5537379741905,3.51486107144747
1981,4,34,2,4.48168907033806,3.48336924758137
1982,4,34,2,4.31026764157115,3.74342137726086
1983,4,34,2,3.64734680305677,3.86901518307539
1984,4,34,2,3.41439391511681,3.87676095663318
1985,4,34,2,3.87288613341106,3.72475098525122
1986,4,34,2,4.19964500878792,3.59663972556928
1987,4,34,2,4.3362069876408,3.75091571185186
1988,4,34,2,3.37029406432161,3.20913040958191
1989,4,34,2,4.1454029608917,3.43837852070512
1990,4,34,2,5.43033051273247,3.47640947118253
1991,4,34,2,3.88063965661658,3.31348332470031
1992,4,34,2,4.89395123143276,3.37366604409482
1993,4,34,2,3.83435027251308,2.89504310390363
1994,4,34,2,4.61356095379639,2.89793959501171
1995,4,34,2,2.98321029240836,2.63873596141133
1996,4,34,2,5.55112161426093,3.04347513789662
1997,4,34,2,5.10898114604348,3.27723474084562
1998,4,34,2,3.89229905594087,3.20913040958191
1999,4,34,2,3.56798139393553,2.75660541320083
2000,4,34,2,2.69258042604582,2.47935885365234
1988,3,34,2,2.80948164961369,3.38042012801557
1989,3,34,2,2.89214950783889,3.37029406432161
1990,3,34,2,3.90789943211649,3.61828443311124
1991,3,34,2,3.52189782800134,3.34678438574415
1992,3,34,2,3.1740234175276,3.45907080661025
1993,3,34,2,3.42807884238525,3.04652013527946
1994,3,34,2,3.41781001679809,2.93879607739822
1995,3,34,2,2.23468437756143,2.75660541320083
1996,3,34,2,2.56561957715024,2.90955456785081
1997,3,34,2,2.64692873512992,3.31017149756516
1998,3,34,2,3.15188283604739,3.29036993267909
1999,3,34,2,2.83488111058847,2.90664646757544
2000,3,34,2,3.18355978517939,2.57616021095018
2001,3,34,2,2.07674133636317,2.7264489184541
2002,3,34,2,2.67915112514554,3.57870141010158
1990,2,34,2,2.45076445907627,3.8535700332363
1991,2,34,2,2.89793959501171,3.56441519593778
1992,2,34,2,2.88637098926796,3.64734680305677
1993,2,34,2,3.07099004549651,3.36019833329698
1994,2,34,2,2.53374893890608,3.07406257154899
1995,2,34,2,2.75385018563101,3.00717169255421
1996,2,34,2,2.23379068256132,2.90664646757544
1997,2,34,2,2.60804265662887,3.4487091444549
1998,2,34,2,2.55614432474142,3.47293479933683
1999,2,34,2,2.79826616893057,3.20271856274687
2000,2,34,2,2.29102656780116,2.78430975818862
2001,2,34,2,2.09049316028301,2.7133933221434
2002,2,34,2,2.24835761323496,3.62552824337312
2003,2,34,2,2.06907159119708,3.52894867215121
2004,2,34,2,2.20031382958034,3.45215957852885
1992,1,34,2,4.71147018259074,3.37704139753435
1993,1,34,2,4.77311914499964,3.29695725767367
1994,1,34,2,3.57512449744588,2.86337213941363
1995,1,34,2,4.49066141783546,2.88060401618483
1996,1,34,2,2.8263892114743,2.64534105424074
1997,1,34,2,3.35348465254902,3.18993327611618
1998,1,34,2,4.60894969885433,3.29036993267909
1999,1,34,2,2.68344119808891,3.15188283604739
2000,1,34,2,2.67272887223137,2.68988919146134
2001,1,34,2,2.16387371051534,2.47762390975599
2002,1,34,2,2.48109501243458,3.19631952679034
2003,1,34,2,3.31017149756516,3.49034295746184
2004,1,34,2,2.2311117414284,3.20271856274687
2005,1,34,2,3.33009222898265,3.04347513789662
2006,1,34,2,2.35466861013034,2.73464054650782
2007,1,34,2,3.26741776944292,2.64719344123852
2008,1,34,2,2.40223607137391,2.48357734840814
2009,1,34,2,2.02769564898166,2.31081436184
2010,1,34,2,2.48506794195053,2.11234773596126
2011,1,34,2,2.92706437214141,2.21621325841164
2012,1,34,2,2.58338356752078,2.27436296998843
2013,1,34,2,2.23826273448769,2.09845214678914
2014,1,34,2,2.83204764644607,2.43269573879766
2015,1,34,2,4.09595540407118,2.67005747927823
2016,1,34,2,3.09565650012471,2.39192863314124
2017,1,34,2,3.06792059043433,2.27459041765762
2018,1,34,2,2.43586029977705,2.33660728716365
2019,1,34,2,3.26415198483793,2.43732225449948
2020,1,34,2,3.11428627255346,2.41282919787602
2021,1,34,2,2.57229886736545,2.22709935252719
2007,3,34,2,2.71556490531857,2.59295979181067
2008,3,34,2,1.87236062301113,2.39432175813745
2009,3,34,2,2.15717608869025,2.25736905455529
2010,3,34,2,1.99132450950436,2.11805878129009
2011,3,34,2,2.13656628358638,2.31706199112106
2012,3,34,2,2.1256975344085,2.20361677691591
2013,3,34,2,1.98635241593719,2.19811461554105
2014,3,34,2,2.43976079582143,2.68451478927207
2015,3,34,2,2.4591112397235,2.59295979181067
2016,3,34,2,1.87817394693905,2.30527505719602
2017,3,34,2,1.66395949474104,2.31335765619347
2005,2,34,2,1.6123617023094,3.05261927265434
2006,2,34,2,2.35090415272314,2.97427407256307
2007,2,34,2,1.73411986106907,2.78430975818862
2008,2,34,2,1.63264271584787,2.5813176871291
2009,2,34,2,1.47565210916596,2.43878508665794
2010,2,34,2,1.85818461932402,2.23513135913361
2011,2,34,2,1.78122263124198,2.42807800513009
2012,2,34,2,1.67096282130986,2.3754811346976
2013,2,34,2,1.52699232495616,2.24117436819438
2014,2,34,2,1.53188652694281,2.74285678634492
2001,4,34,2,2.66126081208046,2.90374127394678
2002,4,34,2,3.41439391511681,3.55729348962612
2003,4,34,2,2.50152363441842,3.15819290968977
2004,4,34,2,4.14125962994156,3.1740234175276
2005,4,34,2,3.18355978517939,2.71420746225495
2006,4,34,2,3.13616275482037,2.69177277307201
2007,4,34,2,3.27395914417608,2.52085971477657
2008,4,34,2,2.657803420816,2.32518591666652
2009,4,34,2,2.64137601718062,2.1569603818669
2010,4,34,2,2.8892588039239,2.13400394175866
2011,4,34,2,2.75660541320083,2.2848491393493
2012,4,34,2,2.41935263939334,2.12463495130921
2013,4,34,2,2.82921701435156,2.27868836745778
2014,4,34,2,4.03094161487453,2.66552223761111
2015,4,34,2,3.97490162749475,2.4645272398666
2003,3,34,2,2.38786580884402,3.23814294383796
2004,3,34,2,2.86051019848318,3.28708120738312
2005,3,34,2,2.76212414091537,2.79546930142846
2006,3,34,2,2.0571057105663,2.79267522939589
2019,4,34,2,3.35683981450295,2.43464267405896
2020,4,34,2,3.5537379741905,2.28782137476488
2021,4,34,2,2.63135783491685,2.05299561061515
2018,2,34,2,2.04439111114806,2.53450917761785
2015,2,34,2,2.35891083048149,2.81229253647249
2016,2,34,2,2.04459556048147,2.47688073406499
2017,2,34,2,1.76491053373757,2.42346903682677
2021,3,34,2,2.11424970468117,2.09614511852584
2018,3,34,2,1.55783961613085,2.42540858777316
2019,3,34,2,1.9019886562715,2.48954509247268
2020,3,34,2,2.10286352662504,2.35938265982895
2021,2,34,2,1.56080232508372,2.2809681955493
2016,4,34,2,3.09875370496916,2.2648306773415
2019,2,34,2,2.00792128426931,2.63530783342748
2020,2,34,2,1.89648087930495,2.52969818207346
2018,4,34,2,3.18037781664364,2.40921266715535
