age,year,season,area,f
1,1952,1,1,2.490076e-05
2,1952,1,1,0.0001684864
3,1952,1,1,0.002605462
4,1952,1,1,0.006474608
5,1952,1,1,0.004051193
6,1952,1,1,0.003378761
7,1952,1,1,0.005170149
8,1952,1,1,0.007576336
9,1952,1,1,0.009402177
10,1952,1,1,0.01034547
11,1952,1,1,0.01059745
12,1952,1,1,0.01045909
13,1952,1,1,0.01015152
14,1952,1,1,0.009792071
15,1952,1,1,0.009430977
16,1952,1,1,0.00909503
17,1952,1,1,0.008796974
18,1952,1,1,0.008540614
19,1952,1,1,0.008324767
20,1952,1,1,0.008145821
21,1952,1,1,0.007999225
22,1952,1,1,0.007880302
23,1952,1,1,0.007784653
24,1952,1,1,0.007708339
25,1952,1,1,0.007647933
26,1952,1,1,0.007600514
27,1952,1,1,0.007563622
28,1952,1,1,0.007535211
29,1952,1,1,0.007513591
30,1952,1,1,0.007497377
31,1952,1,1,0.007485437
32,1952,1,1,0.007476854
33,1952,1,1,0.007470888
34,1952,1,1,0.007466945
35,1952,1,1,0.007464549
36,1952,1,1,0.007463324
37,1952,1,1,0.007462971
38,1952,1,1,0.007462971
39,1952,1,1,0.007462971
40,1952,1,1,0.007462971
1,1953,1,1,1.568193e-05
2,1953,1,1,0.0001058105
3,1953,1,1,0.001640483
4,1953,1,1,0.00414785
5,1953,1,1,0.002876232
6,1953,1,1,0.003103928
7,1953,1,1,0.005346676
8,1953,1,1,0.008064179
9,1953,1,1,0.01012261
10,1953,1,1,0.01121835
11,1953,1,1,0.01154692
12,1953,1,1,0.0114264
13,1953,1,1,0.0111025
14,1953,1,1,0.01071325
15,1953,1,1,0.01031936
16,1953,1,1,0.009952142
17,1953,1,1,0.009626131
18,1953,1,1,0.009345661
19,1953,1,1,0.009109492
20,1953,1,1,0.008913689
21,1953,1,1,0.00875328
22,1953,1,1,0.00862315
23,1953,1,1,0.008518486
24,1953,1,1,0.008434979
25,1953,1,1,0.008368879
26,1953,1,1,0.008316989
27,1953,1,1,0.00827662
28,1953,1,1,0.008245531
29,1953,1,1,0.008221873
30,1953,1,1,0.00820413
31,1953,1,1,0.008191064
32,1953,1,1,0.008181672
33,1953,1,1,0.008175144
34,1953,1,1,0.008170829
35,1953,1,1,0.008168208
36,1953,1,1,0.008166867
37,1953,1,1,0.008166481
38,1953,1,1,0.008166481
39,1953,1,1,0.008166481
40,1953,1,1,0.008166481
1,1954,1,1,1.602539e-05
2,1954,1,1,0.0001081961
3,1954,1,1,0.001679124
4,1954,1,1,0.004249177
5,1954,1,1,0.002925331
6,1954,1,1,0.003084042
7,1954,1,1,0.005257952
8,1954,1,1,0.00791058
9,1954,1,1,0.009919668
10,1954,1,1,0.01098563
11,1954,1,1,0.01130121
12,1954,1,1,0.01117935
13,1954,1,1,0.01086065
14,1954,1,1,0.0104792
15,1954,1,1,0.01009368
16,1954,1,1,0.009734405
17,1954,1,1,0.009415493
18,1954,1,1,0.009141145
19,1954,1,1,0.008910136
20,1954,1,1,0.008718615
21,1954,1,1,0.008561715
22,1954,1,1,0.008434431
23,1954,1,1,0.008332057
24,1954,1,1,0.008250377
25,1954,1,1,0.008185724
26,1954,1,1,0.00813497
27,1954,1,1,0.008095484
28,1954,1,1,0.008065075
29,1954,1,1,0.008041935
30,1954,1,1,0.008024581
31,1954,1,1,0.008011801
32,1954,1,1,0.008002614
33,1954,1,1,0.007996229
34,1954,1,1,0.007992008
35,1954,1,1,0.007989444
36,1954,1,1,0.007988133
37,1954,1,1,0.007987755
38,1954,1,1,0.007987755
39,1954,1,1,0.007987755
40,1954,1,1,0.007987755
1,1955,1,1,9.695858e-06
2,1955,1,1,6.525027e-05
3,1955,1,1,0.001022598
4,1955,1,1,0.002690956
5,1955,1,1,0.002159967
6,1955,1,1,0.00291578
7,1955,1,1,0.005383267
8,1955,1,1,0.008238411
9,1955,1,1,0.01039777
10,1955,1,1,0.01155954
11,1955,1,1,0.01192025
12,1955,1,1,0.01180611
13,1955,1,1,0.01147473
14,1955,1,1,0.01107316
15,1955,1,1,0.01066615
16,1955,1,1,0.0102866
17,1955,1,1,0.009949622
18,1955,1,1,0.009659717
19,1955,1,1,0.009415606
20,1955,1,1,0.00921322
21,1955,1,1,0.009047418
22,1955,1,1,0.008912914
23,1955,1,1,0.008804733
24,1955,1,1,0.008718419
25,1955,1,1,0.008650098
26,1955,1,1,0.008596465
27,1955,1,1,0.008554738
28,1955,1,1,0.008522605
29,1955,1,1,0.008498152
30,1955,1,1,0.008479813
31,1955,1,1,0.008466308
32,1955,1,1,0.0084566
33,1955,1,1,0.008449853
34,1955,1,1,0.008445393
35,1955,1,1,0.008442684
36,1955,1,1,0.008441298
37,1955,1,1,0.008440899
38,1955,1,1,0.008440899
39,1955,1,1,0.008440899
40,1955,1,1,0.008440899
1,1956,1,1,1.101908e-05
2,1956,1,1,7.342536e-05
3,1956,1,1,0.001138016
4,1956,1,1,0.002995538
5,1956,1,1,0.002716482
6,1956,1,1,0.004507928
7,1956,1,1,0.008831684
8,1956,1,1,0.01369034
9,1956,1,1,0.01736779
10,1956,1,1,0.01937802
11,1956,1,1,0.02003909
12,1956,1,1,0.01988357
13,1956,1,1,0.01934272
14,1956,1,1,0.0186723
15,1956,1,1,0.01798831
16,1956,1,1,0.01734905
17,1956,1,1,0.01678106
18,1956,1,1,0.01629226
19,1956,1,1,0.01588061
20,1956,1,1,0.0155393
21,1956,1,1,0.01525967
22,1956,1,1,0.01503283
23,1956,1,1,0.01485037
24,1956,1,1,0.01470479
25,1956,1,1,0.01458956
26,1956,1,1,0.0144991
27,1956,1,1,0.01442872
28,1956,1,1,0.01437453
29,1956,1,1,0.01433328
30,1956,1,1,0.01430235
31,1956,1,1,0.01427957
32,1956,1,1,0.0142632
33,1956,1,1,0.01425182
34,1956,1,1,0.0142443
35,1956,1,1,0.01423973
36,1956,1,1,0.01423739
37,1956,1,1,0.01423672
38,1956,1,1,0.01423672
39,1956,1,1,0.01423672
40,1956,1,1,0.01423672
1,1957,1,1,1.667698e-06
2,1957,1,1,1.023528e-05
3,1957,1,1,0.0001692272
4,1957,1,1,0.0006409273
5,1957,1,1,0.001323114
6,1957,1,1,0.003455503
7,1957,1,1,0.007289411
8,1957,1,1,0.01145203
9,1957,1,1,0.01459919
10,1957,1,1,0.01633503
11,1957,1,1,0.01692129
12,1957,1,1,0.01680412
13,1957,1,1,0.01635194
14,1957,1,1,0.01578648
15,1957,1,1,0.0152085
16,1957,1,1,0.0146681
17,1957,1,1,0.01418789
18,1957,1,1,0.01377462
19,1957,1,1,0.01342658
20,1957,1,1,0.01313801
21,1957,1,1,0.0129016
22,1957,1,1,0.0127098
23,1957,1,1,0.01255554
24,1957,1,1,0.01243246
25,1957,1,1,0.01233504
26,1957,1,1,0.01225855
27,1957,1,1,0.01219905
28,1957,1,1,0.01215323
29,1957,1,1,0.01211836
30,1957,1,1,0.01209221
31,1957,1,1,0.01207295
32,1957,1,1,0.01205911
33,1957,1,1,0.01204949
34,1957,1,1,0.01204313
35,1957,1,1,0.01203926
36,1957,1,1,0.01203729
37,1957,1,1,0.01203672
38,1957,1,1,0.01203672
39,1957,1,1,0.01203672
40,1957,1,1,0.01203672
1,1958,1,1,2.41793e-06
2,1958,1,1,1.550011e-05
3,1958,1,1,0.0002571414
4,1958,1,1,0.0008843161
5,1958,1,1,0.001450571
6,1958,1,1,0.003412313
7,1958,1,1,0.007073038
8,1958,1,1,0.01107305
9,1958,1,1,0.01409609
10,1958,1,1,0.01575574
11,1958,1,1,0.01630725
12,1958,1,1,0.01618492
13,1958,1,1,0.01574478
14,1958,1,1,0.01519851
15,1958,1,1,0.0146414
16,1958,1,1,0.0141209
17,1958,1,1,0.01365851
18,1958,1,1,0.01326062
19,1958,1,1,0.01292554
20,1958,1,1,0.01264773
21,1958,1,1,0.01242013
22,1958,1,1,0.01223549
23,1958,1,1,0.01208698
24,1958,1,1,0.0119685
25,1958,1,1,0.01187471
26,1958,1,1,0.01180108
27,1958,1,1,0.0117438
28,1958,1,1,0.01169968
29,1958,1,1,0.01166612
30,1958,1,1,0.01164094
31,1958,1,1,0.0116224
32,1958,1,1,0.01160907
33,1958,1,1,0.01159981
34,1958,1,1,0.01159369
35,1958,1,1,0.01158997
36,1958,1,1,0.01158807
37,1958,1,1,0.01158752
38,1958,1,1,0.01158752
39,1958,1,1,0.01158752
40,1958,1,1,0.01158752
1,1959,1,1,1.643525e-06
2,1959,1,1,9.91708e-06
3,1959,1,1,0.0001575291
4,1959,1,1,0.0005803926
5,1959,1,1,0.001281541
6,1959,1,1,0.003496782
7,1959,1,1,0.007440061
8,1959,1,1,0.01171051
9,1959,1,1,0.01494056
10,1959,1,1,0.01672781
11,1959,1,1,0.0173383
12,1959,1,1,0.01722556
13,1959,1,1,0.01676583
14,1959,1,1,0.01618758
15,1959,1,1,0.01559548
16,1959,1,1,0.01504155
17,1959,1,1,0.01454921
18,1959,1,1,0.01412546
19,1959,1,1,0.01376857
20,1959,1,1,0.01347266
21,1959,1,1,0.01323023
22,1959,1,1,0.01303355
23,1959,1,1,0.01287536
24,1959,1,1,0.01274915
25,1959,1,1,0.01264924
26,1959,1,1,0.01257081
27,1959,1,1,0.0125098
28,1959,1,1,0.01246281
29,1959,1,1,0.01242705
30,1959,1,1,0.01240023
31,1959,1,1,0.01238048
32,1959,1,1,0.01236628
33,1959,1,1,0.01235642
34,1959,1,1,0.0123499
35,1959,1,1,0.01234593
36,1959,1,1,0.01234391
37,1959,1,1,0.01234332
38,1959,1,1,0.01234332
39,1959,1,1,0.01234332
40,1959,1,1,0.01234332
1,1960,1,1,3.41447e-06
2,1960,1,1,2.020425e-05
3,1960,1,1,0.0003036098
4,1960,1,1,0.00106571
5,1960,1,1,0.00256497
6,1960,1,1,0.007378671
7,1960,1,1,0.01585657
8,1960,1,1,0.02501162
9,1960,1,1,0.03193975
10,1960,1,1,0.03578732
11,1960,1,1,0.03711866
12,1960,1,1,0.03689555
13,1960,1,1,0.03592028
14,1960,1,1,0.03468521
15,1960,1,1,0.03341795
16,1960,1,1,0.03223154
17,1960,1,1,0.03117676
18,1960,1,1,0.03026883
19,1960,1,1,0.02950413
20,1960,1,1,0.02887006
21,1960,1,1,0.02835058
22,1960,1,1,0.02792914
23,1960,1,1,0.02759016
24,1960,1,1,0.0273197
25,1960,1,1,0.02710562
26,1960,1,1,0.02693755
27,1960,1,1,0.0268068
28,1960,1,1,0.0267061
29,1960,1,1,0.02662948
30,1960,1,1,0.02657201
31,1960,1,1,0.02652969
32,1960,1,1,0.02649927
33,1960,1,1,0.02647813
34,1960,1,1,0.02646415
35,1960,1,1,0.02645567
36,1960,1,1,0.02645132
37,1960,1,1,0.02645007
38,1960,1,1,0.02645007
39,1960,1,1,0.02645007
40,1960,1,1,0.02645007
1,1961,1,1,2.38499e-06
2,1961,1,1,1.504576e-05
3,1961,1,1,0.0002337112
4,1961,1,1,0.0007312868
5,1961,1,1,0.001245124
6,1961,1,1,0.003152645
7,1961,1,1,0.006651755
8,1961,1,1,0.01045559
9,1961,1,1,0.01333344
10,1961,1,1,0.01492524
11,1961,1,1,0.01546871
12,1961,1,1,0.01536806
13,1961,1,1,0.01495816
14,1961,1,1,0.01444245
15,1961,1,1,0.01391428
16,1961,1,1,0.0134201
17,1961,1,1,0.01298085
18,1961,1,1,0.01260279
19,1961,1,1,0.01228438
20,1961,1,1,0.01202037
21,1961,1,1,0.01180407
22,1961,1,1,0.0116286
23,1961,1,1,0.01148746
24,1961,1,1,0.01137485
25,1961,1,1,0.01128571
26,1961,1,1,0.01121574
27,1961,1,1,0.0111613
28,1961,1,1,0.01111937
29,1961,1,1,0.01108747
30,1961,1,1,0.01106354
31,1961,1,1,0.01104592
32,1961,1,1,0.01103326
33,1961,1,1,0.01102445
34,1961,1,1,0.01101864
35,1961,1,1,0.0110151
36,1961,1,1,0.01101329
37,1961,1,1,0.01101277
38,1961,1,1,0.01101277
39,1961,1,1,0.01101277
40,1961,1,1,0.01101277
1,1962,1,1,4.790679e-06
2,1962,1,1,3.165416e-05
3,1962,1,1,0.0004867515
4,1962,1,1,0.001288019
5,1962,1,1,0.00129708
6,1962,1,1,0.00244339
7,1962,1,1,0.004926841
8,1962,1,1,0.007681992
9,1962,1,1,0.009767832
10,1962,1,1,0.01091548
11,1962,1,1,0.01130135
12,1962,1,1,0.01122217
13,1962,1,1,0.0109209
14,1962,1,1,0.01054386
15,1962,1,1,0.01015815
16,1962,1,1,0.009797347
17,1962,1,1,0.009476668
18,1962,1,1,0.009200663
19,1962,1,1,0.00896821
20,1962,1,1,0.00877547
21,1962,1,1,0.008617563
22,1962,1,1,0.008489458
23,1962,1,1,0.008386421
