year,season,area,sb
1952,1,1,370570
1953,1,1,379390
1954,1,1,374870
1955,1,1,367970
1956,1,1,380040
1957,1,1,407520
1958,1,1,420730
1959,1,1,393760
1960,1,1,346450
1961,1,1,334080
1962,1,1,301850
1963,1,1,280140
1964,1,1,258930
1965,1,1,240060
1966,1,1,220540
1967,1,1,204950
1968,1,1,180640
1969,1,1,180140
1970,1,1,172260
1971,1,1,159810
1972,1,1,160780
1973,1,1,151120
1974,1,1,146700
1975,1,1,153090
1976,1,1,147430
1977,1,1,142370
1978,1,1,171960
1979,1,1,163870
1980,1,1,160970
1981,1,1,150350
1982,1,1,141170
1983,1,1,135590
1984,1,1,135960
1985,1,1,136860
1986,1,1,128360
1987,1,1,126970
1988,1,1,138250
1989,1,1,128640
1990,1,1,129840
1991,1,1,140570
1992,1,1,136890
1993,1,1,130920
1994,1,1,119160
1995,1,1,121670
1996,1,1,109790
1997,1,1,103450
1998,1,1,99669
1999,1,1,101570
2000,1,1,95728
2001,1,1,94422
2002,1,1,94181
2003,1,1,102720
2004,1,1,99155
2005,1,1,105480
2006,1,1,101080
2007,1,1,111240
2008,1,1,99950
2009,1,1,93568
2010,1,1,92120
2011,1,1,86898
2012,1,1,89226
2013,1,1,81663
2014,1,1,79861
2015,1,1,92896
2016,1,1,93992
2017,1,1,85341
2018,1,1,85511
2019,1,1,95721
2020,1,1,96308
2021,1,1,90423
1952,2,1,377010
1953,2,1,370670
1954,2,1,365840
1955,2,1,357120
1956,2,1,375090
1957,2,1,406580
1958,2,1,409250
1959,2,1,374920
1960,2,1,327660
1961,2,1,324220
1962,2,1,287490
1963,2,1,271910
1964,2,1,250580
1965,2,1,231050
1966,2,1,214220
1967,2,1,194660
1968,2,1,175220
1969,2,1,177720
1970,2,1,164830
1971,2,1,156080
1972,2,1,158760
1973,2,1,144610
1974,2,1,147960
1975,2,1,152280
1976,2,1,143200
1977,2,1,150300
1978,2,1,170720
1979,2,1,160900
1980,2,1,158250
1981,2,1,146230
1982,2,1,138550
1983,2,1,133360
1984,2,1,136630
1985,2,1,133280
1986,2,1,124490
1987,2,1,129480
1988,2,1,136590
1989,2,1,125630
1990,2,1,133100
1991,2,1,140080
1992,2,1,135760
1993,2,1,126700
1994,2,1,118270
1995,2,1,120220
1996,2,1,105670
1997,2,1,103010
1998,2,1,98334
1999,2,1,99736
2000,2,1,94293
2001,2,1,92289
2002,2,1,96215
2003,2,1,101710
2004,2,1,100220
2005,2,1,103080
2006,2,1,104850
2007,2,1,108790
2008,2,1,97834
2009,2,1,92358
2010,2,1,90573
2011,2,1,87460
2012,2,1,87995
2013,2,1,79498
2014,2,1,82615
2015,2,1,93948
2016,2,1,92272
2017,2,1,83789
2018,2,1,86708
2019,2,1,97900
2020,2,1,94131
2021,2,1,88287
1952,3,1,289060
1953,3,1,283720
1954,3,1,279060
1955,3,1,273630
1956,3,1,290860
1957,3,1,316370
1958,3,1,311880
1959,3,1,280030
1960,3,1,250530
1961,3,1,243730
1962,3,1,216210
1963,3,1,206350
1964,3,1,190070
1965,3,1,173550
1966,3,1,162440
1967,3,1,144960
1968,3,1,134240
1969,3,1,135880
1970,3,1,123410
1971,3,1,119670
1972,3,1,121260
1973,3,1,109620
1974,3,1,116390
1975,3,1,118050
1976,3,1,108780
1977,3,1,125150
1978,3,1,130980
1979,3,1,124070
1980,3,1,120710
1981,3,1,111430
1982,3,1,106080
1983,3,1,102800
1984,3,1,106900
1985,3,1,101010
1986,3,1,94899
1987,3,1,103120
1988,3,1,103830
1989,3,1,96799
1990,3,1,106160
1991,3,1,108320
1992,3,1,104600
1993,3,1,95557
