year,season,fishery,area,catch
2021,1,4,3,254.01
1952,1,5,3,0
1953,1,5,3,0
1954,1,5,3,0
1955,1,5,3,0
1956,1,5,3,0
1957,1,5,3,0
1958,1,5,3,0
1959,1,5,3,0
1960,1,5,3,0
1961,1,5,3,0
1962,1,5,3,0
1963,1,5,3,0
1964,1,5,3,0
1965,1,5,3,0
1966,1,5,3,0
1967,1,5,3,0
1968,1,5,3,0
1969,1,5,3,0
1970,1,5,3,0
1971,1,5,3,0
1972,1,5,3,0
1973,1,5,3,0
1974,1,5,3,0
1975,1,5,3,0
1976,1,5,3,0
1977,1,5,3,0
1978,1,5,3,0
1979,1,5,3,0
1980,1,5,3,0
1981,1,5,3,0
1982,1,5,3,0
1983,1,5,3,0
1984,1,5,3,0
1985,1,5,3,0
1986,1,5,3,0
1987,1,5,3,0
1988,1,5,3,3.67048
1989,1,5,3,3.67455
1990,1,5,3,264.307
1991,1,5,3,125.426
1992,1,5,3,196.119
1993,1,5,3,397.608
1994,1,5,3,1859.65
1995,1,5,3,2527.62
1996,1,5,3,1496.65
1997,1,5,3,710.236
1998,1,5,3,2367.53
1999,1,5,3,1475.99
2000,1,5,3,971.352
2001,1,5,3,2342.93
2002,1,5,3,736.32
2003,1,5,3,1254.44
2004,1,5,3,866.267
2005,1,5,3,360.602
2006,1,5,3,507.138
2007,1,5,3,1328.17
2008,1,5,3,1103.81
2009,1,5,3,1913.63
2010,1,5,3,1458.01
2011,1,5,3,1102.12
2012,1,5,3,1858.83
2013,1,5,3,2046.02
2014,1,5,3,1620.74
2015,1,5,3,1711.25
2016,1,5,3,1071.44
2017,1,5,3,1529.13
2018,1,5,3,2598.13
2019,1,5,3,2153.54
2020,1,5,3,1704.48
2021,1,5,3,756.461
1952,1,6,7,0
1953,1,6,7,0
1954,1,6,7,0
1955,1,6,7,0
1956,1,6,7,0
1957,1,6,7,0
1958,1,6,7,471.877
1959,1,6,7,374.452
1960,1,6,7,402.011
1961,1,6,7,439.608
1962,1,6,7,531.975
1963,1,6,7,555.766
1964,1,6,7,595.827
1965,1,6,7,393.415
1966,1,6,7,414.933
1967,1,6,7,602.413
1968,1,6,7,659.411
1969,1,6,7,642.244
1970,1,6,7,298.625
1971,1,6,7,372.345
1972,1,6,7,481.495
1973,1,6,7,452.773
1974,1,6,7,820.081
1975,1,6,7,904.442
1976,1,6,7,482.805
1977,1,6,7,426.214
1978,1,6,7,709.57
1979,1,6,7,772.913
1980,1,6,7,670.529
1981,1,6,7,885.662
1982,1,6,7,808.013
1983,1,6,7,799.254
1984,1,6,7,797.503
1985,1,6,7,1048.76
1986,1,6,7,782.304
1987,1,6,7,988.057
1988,1,6,7,1184.87
1989,1,6,7,945.309
1990,1,6,7,1228.87
1991,1,6,7,1323.83
1992,1,6,7,1465.67
1993,1,6,7,1233.42
1994,1,6,7,1487.38
1995,1,6,7,1379.53
1996,1,6,7,2422
1997,1,6,7,2450.3
1998,1,6,7,2958.43
1999,1,6,7,2396.37
2000,1,6,7,4008.83
2001,1,6,7,3059.61
2002,1,6,7,2673.41
2003,1,6,7,3255.08
2004,1,6,7,3962.18
2005,1,6,7,2931.31
2006,1,6,7,3936.27
2007,1,6,7,3299.51
2008,1,6,7,3939.64
2009,1,6,7,4174.49
2010,1,6,7,2449.57
2011,1,6,7,3867.92
2012,1,6,7,3643.18
2013,1,6,7,3028.06
2014,1,6,7,4547.87
2015,1,6,7,3055.87
2016,1,6,7,2450.13
2017,1,6,7,1166.72
2018,1,6,7,3256.9
2019,1,6,7,3073.61
2020,1,6,7,2490.93
2021,1,6,7,2164.25
1952,1,7,7,910.085
1953,1,7,7,165.282
1954,1,7,7,438.947
1955,1,7,7,533.355
1956,1,7,7,317.738
1957,1,7,7,298.189
1958,1,7,7,332.985
1959,1,7,7,1491.1
1960,1,7,7,725.627
1961,1,7,7,1002.57
1962,1,7,7,1455.53
1963,1,7,7,465.638
1964,1,7,7,471.947
1965,1,7,7,635.017
1966,1,7,7,439.568
1967,1,7,7,828.147
1968,1,7,7,833.301
1969,1,7,7,846.187
1970,1,7,7,426.419
1971,1,7,7,585.186
1972,1,7,7,572.603
1973,1,7,7,1349.17
1974,1,7,7,1952.32
1975,1,7,7,1338.86
1976,1,7,7,1622.14
1977,1,7,7,1903.71
1978,1,7,7,922.823
1979,1,7,7,1076.34
1980,1,7,7,1338.39
1981,1,7,7,1271.43
1982,1,7,7,582.13
1983,1,7,7,409.826
1984,1,7,7,626.732
1985,1,7,7,340.532
1986,1,7,7,390.51
1987,1,7,7,353.825
1988,1,7,7,346.638
1989,1,7,7,774.166
1990,1,7,7,954.972
1991,1,7,7,957.895
1992,1,7,7,1545.01
1993,1,7,7,775.789
1994,1,7,7,1207.74
1995,1,7,7,1200.06
1996,1,7,7,1128.76
1997,1,7,7,902.672
1998,1,7,7,479.874
1999,1,7,7,631.467
2000,1,7,7,443.403
2001,1,7,7,492.572
2002,1,7,7,545.363
2003,1,7,7,430.136
2004,1,7,7,492.374
2005,1,7,7,397.964
2006,1,7,7,440.525
2007,1,7,7,407.306
2008,1,7,7,464.09
2009,1,7,7,601.82
2010,1,7,7,513.818
2011,1,7,7,398.717
2012,1,7,7,496.15
2013,1,7,7,279.142
2014,1,7,7,512.579
2015,1,7,7,378.256
2016,1,7,7,314.92
2017,1,7,7,610.045
2018,1,7,7,545.83
2019,1,7,7,346.67
2020,1,7,7,290.694
2021,1,7,7,317.626
1952,1,8,8,47.7269
1953,1,8,8,142.604
1954,1,8,8,166.693
1955,1,8,8,88.4071
1956,1,8,8,214.598
1957,1,8,8,367.048
1958,1,8,8,443.216
1959,1,8,8,58.9142
1960,1,8,8,155.756
1961,1,8,8,235.13
1962,1,8,8,458.425
1963,1,8,8,123.679
1964,1,8,8,110.782
1965,1,8,8,55.7529
1966,1,8,8,57.657
1967,1,8,8,73.9849
1968,1,8,8,121.465
1969,1,8,8,46.3864
1970,1,8,8,7.41728
1971,1,8,8,32.4915
1972,1,8,8,19.7292
1973,1,8,8,327.792
1974,1,8,8,63.9558
1975,1,8,8,25.6413
1976,1,8,8,196.339
1977,1,8,8,238.047
1978,1,8,8,185.554
1979,1,8,8,182.042
1980,1,8,8,731.127
1981,1,8,8,648.489
1982,1,8,8,339.808
1983,1,8,8,450.677
1984,1,8,8,292.055
1985,1,8,8,308.052
1986,1,8,8,414.599
1987,1,8,8,178.856
1988,1,8,8,267.508
1989,1,8,8,34.8295
1990,1,8,8,10.6729
1991,1,8,8,422.118
1992,1,8,8,28.3854
1993,1,8,8,0
1994,1,8,8,11.7031
1995,1,8,8,294.114
1996,1,8,8,48.5279
1997,1,8,8,140.265
1998,1,8,8,157.918
1999,1,8,8,85.9742
2000,1,8,8,55.3559
2001,1,8,8,60.5737
2002,1,8,8,155.281
2003,1,8,8,249.218
2004,1,8,8,76.0016
2005,1,8,8,50.9552
2006,1,8,8,82.5145
2007,1,8,8,100.977
2008,1,8,8,127.259
2009,1,8,8,162.349
2010,1,8,8,98.2457
2011,1,8,8,192.84
2012,1,8,8,168.47
2013,1,8,8,58.7518
2014,1,8,8,256.899
2015,1,8,8,115.075
2016,1,8,8,153.319
2017,1,8,8,71.7224
2018,1,8,8,78.8798
2019,1,8,8,270.339
2020,1,8,8,115.973
2021,1,8,8,110.77
1952,1,9,4,388.291
1953,1,9,4,2289.81
1954,1,9,4,614.328
1955,1,9,4,845.617
1956,1,9,4,3180.26
1957,1,9,4,2516.16
1958,1,9,4,6842.58
1959,1,9,4,2857.62
1960,1,9,4,1675.26
1961,1,9,4,3222.75
1962,1,9,4,1854.75
1963,1,9,4,2876.02
1964,1,9,4,6295.04
1965,1,9,4,4080.5
1966,1,9,4,3886.36
1967,1,9,4,3314.82
1968,1,9,4,2580.58
1969,1,9,4,3803.59
1970,1,9,4,3378.51
1971,1,9,4,4293.09
1972,1,9,4,3528.44
1973,1,9,4,4386.12
1974,1,9,4,2263.23
1975,1,9,4,3842.18
1976,1,9,4,4380.54
1977,1,9,4,6965.97
1978,1,9,4,4168.62
1979,1,9,4,4524.05
1980,1,9,4,8314.81
1981,1,9,4,1973.46
1982,1,9,4,4414.66
1983,1,9,4,7497.42
1984,1,9,4,6355.17
1985,1,9,4,8916.9
1986,1,9,4,3705.58
1987,1,9,4,9507.59
1988,1,9,4,5357.12
1989,1,9,4,3939.39
1990,1,9,4,5893.06
1991,1,9,4,3029.66
1992,1,9,4,9953.46
1993,1,9,4,3614.26
1994,1,9,4,4616.56
1995,1,9,4,6983.61
1996,1,9,4,4444.28
1997,1,9,4,5095.24
1998,1,9,4,18471.5
1999,1,9,4,6262.95
2000,1,9,4,7935.63
2001,1,9,4,5614.12
2002,1,9,4,9274.97
2003,1,9,4,10502.9
2004,1,9,4,8194.16
2005,1,9,4,9654.51
2006,1,9,4,6903.28
2007,1,9,4,9131.83
2008,1,9,4,6852.49
2009,1,9,4,7955.28
2010,1,9,4,10344.5
2011,1,9,4,4961.26
2012,1,9,4,6731.67
2013,1,9,4,5972.26
2014,1,9,4,6547.33
2015,1,9,4,8575.83
2016,1,9,4,8206.22
2017,1,9,4,3976.56
2018,1,9,4,3507.68
2019,1,9,4,6582.64
2020,1,9,4,6351.57
2021,1,9,4,1640.01
1952,1,10,5,0
1953,1,10,5,0
1954,1,10,5,0
1955,1,10,5,0
1956,1,10,5,0
1957,1,10,5,0
1958,1,10,5,0
1959,1,10,5,0
1960,1,10,5,0
1961,1,10,5,0
1962,1,10,5,0
1963,1,10,5,0
1964,1,10,5,0
1965,1,10,5,0
1966,1,10,5,0
1967,1,10,5,0
1968,1,10,5,0
1969,1,10,5,0
1970,1,10,5,0
1971,1,10,5,0
1972,1,10,5,0
1973,1,10,5,0
1974,1,10,5,0
1975,1,10,5,0
1976,1,10,5,0
1977,1,10,5,0
1978,1,10,5,0
1979,1,10,5,0
1980,1,10,5,0
1981,1,10,5,0
1982,1,10,5,0
1983,1,10,5,0
1984,1,10,5,0
1985,1,10,5,0
1986,1,10,5,0
1987,1,10,5,19.8357
1988,1,10,5,9.4603
1989,1,10,5,0.560586
1990,1,10,5,2.12162
1991,1,10,5,2.48498
1992,1,10,5,4.12191
1993,1,10,5,0.982951
1994,1,10,5,5.37838
1995,1,10,5,19.3451
1996,1,10,5,16.6027
1997,1,10,5,82.9542
1998,1,10,5,200.23
1999,1,10,5,165.547
2000,1,10,5,125.748
2001,1,10,5,211.147
2002,1,10,5,224.252
2003,1,10,5,259.127
2004,1,10,5,102.316
2005,1,10,5,176.982
2006,1,10,5,94.3226
2007,1,10,5,104.588
2008,1,10,5,178.696
2009,1,10,5,82.2428
2010,1,10,5,70.1578
2011,1,10,5,49.2958
2012,1,10,5,74.1287
2013,1,10,5,82.5867
2014,1,10,5,71.7193
2015,1,10,5,109.491
2016,1,10,5,168.75
2017,1,10,5,70.7866
2018,1,10,5,69.525
2019,1,10,5,44.3385
2020,1,10,5,46.0109
2021,1,10,5,60.6216
1952,1,11,5,0
1953,1,11,5,67.3043
1954,1,11,5,202.293
1955,1,11,5,115.936
1956,1,11,5,29.3648
1957,1,11,5,34.5673
1958,1,11,5,22.8121
1959,1,11,5,26.8175
1960,1,11,5,15.0294
1961,1,11,5,15.8545
1962,1,11,5,278.438
1963,1,11,5,84.1165
1964,1,11,5,182.303
1965,1,11,5,50.6565
1966,1,11,5,99.7524
1967,1,11,5,72.2475
1968,1,11,5,79.6236
1969,1,11,5,276.829
1970,1,11,5,126.806
1971,1,11,5,361.662
1972,1,11,5,397.69
1973,1,11,5,429.311
1974,1,11,5,608.921
1975,1,11,5,99.6725
1976,1,11,5,158.516
1977,1,11,5,181.692
1978,1,11,5,195.99
1979,1,11,5,254.37
1980,1,11,5,118.582
1981,1,11,5,313.265
1982,1,11,5,349.585
1983,1,11,5,154.857
1984,1,11,5,114.845
1985,1,11,5,117.418
1986,1,11,5,412.346
1987,1,11,5,60.5318
1988,1,11,5,197.506
1989,1,11,5,124.803
1990,1,11,5,200.595
1991,1,11,5,126.425
1992,1,11,5,28.3826
1993,1,11,5,127.125
1994,1,11,5,172.117
1995,1,11,5,176.432
1996,1,11,5,243.268
1997,1,11,5,178.212
1998,1,11,5,222.053
1999,1,11,5,239.268
2000,1,11,5,226.521
2001,1,11,5,154.225
2002,1,11,5,416.775
2003,1,11,5,594.094
2004,1,11,5,368.49
2005,1,11,5,425.875
2006,1,11,5,343.689
2007,1,11,5,294.507
2008,1,11,5,520.418
2009,1,11,5,287.593
2010,1,11,5,764.604
2011,1,11,5,732.799
2012,1,11,5,371.607
2013,1,11,5,312.878
2014,1,11,5,503.853
2015,1,11,5,354.182
2016,1,11,5,294.263
2017,1,11,5,261.262
2018,1,11,5,367.462
2019,1,11,5,395.463
2020,1,11,5,323.978
2021,1,11,5,317.324
1952,1,12,6,0
1953,1,12,6,1.89863
1954,1,12,6,4.02422
1955,1,12,6,23.5065
1956,1,12,6,14.467
1957,1,12,6,151.521
1958,1,12,6,113.507
1959,1,12,6,124.755
1960,1,12,6,61.2657
1961,1,12,6,52.6957
1962,1,12,6,51.049
1963,1,12,6,76.2737
1964,1,12,6,96.3578
1965,1,12,6,138.637
1966,1,12,6,179.668
1967,1,12,6,165.588
1968,1,12,6,104.038
1969,1,12,6,303.684
1970,1,12,6,229.874
1971,1,12,6,499.227
1972,1,12,6,323.472
1973,1,12,6,164.386
1974,1,12,6,363.123
1975,1,12,6,130.152
1976,1,12,6,197.96
1977,1,12,6,324.325
1978,1,12,6,249.693
1979,1,12,6,161.432
1980,1,12,6,173.481
1981,1,12,6,257.639
1982,1,12,6,332.547
1983,1,12,6,152.085
1984,1,12,6,164.566
1985,1,12,6,80.4074
1986,1,12,6,102.301
1987,1,12,6,81.0623
1988,1,12,6,96.2305
1989,1,12,6,12.6439
1990,1,12,6,77.9947
1991,1,12,6,104.68
1992,1,12,6,102.683
1993,1,12,6,120.172
1994,1,12,6,267.219
1995,1,12,6,249.788
1996,1,12,6,275.269
1997,1,12,6,232.072
1998,1,12,6,428.854
1999,1,12,6,413.287
2000,1,12,6,467.974
2001,1,12,6,683.749
2002,1,12,6,731.438
2003,1,12,6,674.51
2004,1,12,6,739.513
2005,1,12,6,404.762
2006,1,12,6,641.665
2007,1,12,6,553.689
2008,1,12,6,660.687
2009,1,12,6,696.232
2010,1,12,6,512.663
2011,1,12,6,578.152
2012,1,12,6,697.068
2013,1,12,6,818.926
2014,1,12,6,467.949
2015,1,12,6,571.81
2016,1,12,6,506.488
2017,1,12,6,672.46
2018,1,12,6,421.827
2019,1,12,6,646.677
2020,1,12,6,502.499
2021,1,12,6,727.313
1952,1,13,3,0
1953,1,13,3,0
1954,1,13,3,0
1955,1,13,3,0
1956,1,13,3,0
1957,1,13,3,0
1958,1,13,3,0
1959,1,13,3,0
1960,1,13,3,0
1961,1,13,3,0
1962,1,13,3,0
1963,1,13,3,0
1964,1,13,3,0
1965,1,13,3,0
1966,1,13,3,0
1967,1,13,3,0
1968,1,13,3,0
1969,1,13,3,0
1970,1,13,3,0
1971,1,13,3,4.7
1972,1,13,3,5
1973,1,13,3,36.8
1974,1,13,3,26.7
1975,1,13,3,39.6
1976,1,13,3,107.1
1977,1,13,3,113.7
1978,1,13,3,187.7
1979,1,13,3,156.6
1980,1,13,3,128
1981,1,13,3,1038.2
1982,1,13,3,2736.3
1983,1,13,3,1598.1
1984,1,13,3,3981.7
1985,1,13,3,1695.9
1986,1,13,3,4286.6
1987,1,13,3,5169.3
1988,1,13,3,5848.2
1989,1,13,3,2277.5
1990,1,13,3,5526.5
1991,1,13,3,5805.7
1992,1,13,3,5176.7
1993,1,13,3,5816.2
1994,1,13,3,7062.5
1995,1,13,3,5364.6
1996,1,13,3,6521.1
1997,1,13,3,5296.7
1998,1,13,3,4841.1
1999,1,13,3,7028.5
2000,1,13,3,4883.1
2001,1,13,3,4975.7
2002,1,13,3,11121.4
2003,1,13,3,6721.7
2004,1,13,3,8278.9
2005,1,13,3,6960.3
2006,1,13,3,7097.9
2007,1,13,3,9080.3
2008,1,13,3,10739.3
2009,1,13,3,5390.6
2010,1,13,3,3670.4
2011,1,13,3,11993.6
2012,1,13,3,4620.7
2013,1,13,3,8734.9
2014,1,13,3,8957.1
2015,1,13,3,3746.9
2016,1,13,3,3820.6
2017,1,13,3,5455.9
2018,1,13,3,5770.6
2019,1,13,3,3626.1
2020,1,13,3,2230.5
2021,1,13,3,7535.8
1952,1,14,3,0
1953,1,14,3,0
1954,1,14,3,0
1955,1,14,3,0
1956,1,14,3,0
1957,1,14,3,0
1958,1,14,3,0
1959,1,14,3,0
1960,1,14,3,0
1961,1,14,3,0
1962,1,14,3,0
1963,1,14,3,0
1964,1,14,3,0
1965,1,14,3,0
1966,1,14,3,0
1967,1,14,3,0
1968,1,14,3,0.2
1969,1,14,3,0
1970,1,14,3,0
1971,1,14,3,0
1972,1,14,3,0
1973,1,14,3,0
1974,1,14,3,0
1975,1,14,3,4.5
1976,1,14,3,0
1977,1,14,3,0.1
1978,1,14,3,15
1979,1,14,3,1.1
1980,1,14,3,23.4
1981,1,14,3,38.7
1982,1,14,3,112.3
1983,1,14,3,351.4
1984,1,14,3,246
1985,1,14,3,327.3
1986,1,14,3,119.1
1987,1,14,3,953.5
1988,1,14,3,343.7
1989,1,14,3,349.9
1990,1,14,3,604.8
1991,1,14,3,646.5
1992,1,14,3,616.9
1993,1,14,3,1442.5
1994,1,14,3,723.6
1995,1,14,3,2572.4
1996,1,14,3,708.5
1997,1,14,3,453.8
1998,1,14,3,1992
1999,1,14,3,614.5
2000,1,14,3,814.9
2001,1,14,3,948.5
2002,1,14,3,346.7
2003,1,14,3,2741.5
2004,1,14,3,375.6
2005,1,14,3,1126
2006,1,14,3,678.1
2007,1,14,3,776.8
2008,1,14,3,442.8
2009,1,14,3,506.8
2010,1,14,3,362.9
2011,1,14,3,244.7
2012,1,14,3,654.5
2013,1,14,3,1031.1
2014,1,14,3,528.8
2015,1,14,3,932.3
2016,1,14,3,2540.8
2017,1,14,3,895.1
2018,1,14,3,960.1
2019,1,14,3,1142.8
2020,1,14,3,256.6
2021,1,14,3,294.3
1952,1,15,4,0
1953,1,15,4,0
1954,1,15,4,0
1955,1,15,4,0
1956,1,15,4,0
1957,1,15,4,0
1958,1,15,4,0
1959,1,15,4,0
1960,1,15,4,0
1961,1,15,4,0
1962,1,15,4,0
1963,1,15,4,0
1964,1,15,4,0
1965,1,15,4,0
1966,1,15,4,0
1967,1,15,4,0
1968,1,15,4,0
1969,1,15,4,0
1970,1,15,4,0
1971,1,15,4,0
1972,1,15,4,0
1973,1,15,4,0
1974,1,15,4,0
1975,1,15,4,0
1976,1,15,4,0
1977,1,15,4,0
1978,1,15,4,0
1979,1,15,4,0
1980,1,15,4,0
1981,1,15,4,0
1982,1,15,4,0
1983,1,15,4,618.6
1984,1,15,4,685.5
1985,1,15,4,33.2
1986,1,15,4,13.8
1987,1,15,4,20
1988,1,15,4,31.6
1989,1,15,4,0
1990,1,15,4,638.5
1991,1,15,4,2.1
1992,1,15,4,1647.8
1993,1,15,4,2035.8
1994,1,15,4,741.7
1995,1,15,4,634.4
1996,1,15,4,715.2
1997,1,15,4,2387.1
1998,1,15,4,4726.5
1999,1,15,4,1693.1
2000,1,15,4,4144
2001,1,15,4,1173
2002,1,15,4,5325.1
2003,1,15,4,21.2
2004,1,15,4,3406.5
2005,1,15,4,2243.7
2006,1,15,4,527.9
2007,1,15,4,1663.6
2008,1,15,4,4833.4
2009,1,15,4,5185
2010,1,15,4,5352.7
2011,1,15,4,11004
2012,1,15,4,6757.4
2013,1,15,4,7462.8
2014,1,15,4,12589.2
2015,1,15,4,6680.1
2016,1,15,4,4965.5
2017,1,15,4,8204.4
2018,1,15,4,12451.2
2019,1,15,4,4726.2
2020,1,15,4,9215.1
2021,1,15,4,9431.4
1952,1,16,4,0
1953,1,16,4,0
1954,1,16,4,0
1955,1,16,4,0
1956,1,16,4,0
1957,1,16,4,0
1958,1,16,4,0
1959,1,16,4,0
1960,1,16,4,0
1961,1,16,4,0
1962,1,16,4,0
1963,1,16,4,0
1964,1,16,4,0
1965,1,16,4,0
1966,1,16,4,0
1967,1,16,4,0
1968,1,16,4,0
1969,1,16,4,0
1970,1,16,4,0
1971,1,16,4,0
1972,1,16,4,0
