year,season,fishery,area,catch
1952,1,1,1,4183.73
1953,1,1,1,4477.04
1954,1,1,1,4302.58
1955,1,1,1,4419.26
1956,1,1,1,8253.02
1957,1,1,1,7710.8
1958,1,1,1,7047.81
1959,1,1,1,6443.87
1960,1,1,1,12479.9
1961,1,1,1,5173.65
1962,1,1,1,3185.69
1963,1,1,1,5256.59
1964,1,1,1,2990.83
1965,1,1,1,2512.49
1966,1,1,1,2514.77
1967,1,1,1,4253.28
1968,1,1,1,1928.35
1969,1,1,1,2685.94
1970,1,1,1,2221.74
1971,1,1,1,1765.92
1972,1,1,1,1628.37
1973,1,1,1,1260.47
1974,1,1,1,1415.17
1975,1,1,1,2042.79
1976,1,1,1,2006.48
1977,1,1,1,3481.17
1978,1,1,1,3024.24
1979,1,1,1,2291.82
1980,1,1,1,2429.73
1981,1,1,1,1935.71
1982,1,1,1,2334.62
1983,1,1,1,2213.34
1984,1,1,1,2374.1
1985,1,1,1,2114.36
1986,1,1,1,2562.89
1987,1,1,1,1937.01
1988,1,1,1,2308.4
1989,1,1,1,2345.38
1990,1,1,1,2519.26
1991,1,1,1,2556.47
1992,1,1,1,2302.76
1993,1,1,1,3326.65
1994,1,1,1,1860.42
1995,1,1,1,2370.39
1996,1,1,1,1788.49
1997,1,1,1,1986.63
1998,1,1,1,1997.11
1999,1,1,1,2256.19
2000,1,1,1,1971.98
2001,1,1,1,1616.32
2002,1,1,1,1687.69
2003,1,1,1,1788.62
2004,1,1,1,2110.21
2005,1,1,1,2218.89
2006,1,1,1,2609.82
2007,1,1,1,2561.06
2008,1,1,1,2165.36
2009,1,1,1,1639.54
2010,1,1,1,1676.28
2011,1,1,1,1846.58
2012,1,1,1,1573.88
2013,1,1,1,1163.95
2014,1,1,1,1440.32
2015,1,1,1,2051.13
2016,1,1,1,1815.44
2017,1,1,1,1287.25
2018,1,1,1,1774.47
2019,1,1,1,2083.94
2020,1,1,1,2046.96
2021,1,1,1,2881.34
1952,1,2,2,2433.09
1953,1,2,2,5511.21
1954,1,2,2,876.84
1955,1,2,2,4674.08
1956,1,2,2,2223.18
1957,1,2,2,3395.14
1958,1,2,2,6755.76
1959,1,2,2,9370.37
1960,1,2,2,7705.44
1961,1,2,2,7873.72
1962,1,2,2,9045.26
1963,1,2,2,9949.61
1964,1,2,2,5598.18
1965,1,2,2,3116.54
1966,1,2,2,3571.81
1967,1,2,2,4799.57
1968,1,2,2,3513.6
1969,1,2,2,3936.03
1970,1,2,2,4439.18
1971,1,2,2,3696.38
1972,1,2,2,3595.49
1973,1,2,2,5219.72
1974,1,2,2,3540.57
1975,1,2,2,3191.92
1976,1,2,2,4422.09
1977,1,2,2,2326.43
1978,1,2,2,4852.77
1979,1,2,2,4803.93
1980,1,2,2,4606.12
1981,1,2,2,4567.01
1982,1,2,2,4552.01
1983,1,2,2,3532.41
1984,1,2,2,4070.65
1985,1,2,2,3084.1
1986,1,2,2,4278.19
1987,1,2,2,5420.09
1988,1,2,2,8425.4
1989,1,2,2,6647.15
1990,1,2,2,4972.64
1991,1,2,2,6368.12
1992,1,2,2,3806.54
1993,1,2,2,4815.57
1994,1,2,2,4176.28
1995,1,2,2,3743.27
1996,1,2,2,2088.03
1997,1,2,2,1989.07
1998,1,2,2,1715.94
1999,1,2,2,1814.15
2000,1,2,2,1296.1
2001,1,2,2,1388.68
2002,1,2,2,1371.15
2003,1,2,2,4746.47
2004,1,2,2,2736.25
2005,1,2,2,5284.22
2006,1,2,2,2611.29
2007,1,2,2,2091.66
2008,1,2,2,4252.94
2009,1,2,2,761.667
2010,1,2,2,263.513
2011,1,2,2,1835.57
2012,1,2,2,2697.1
2013,1,2,2,2605.46
2014,1,2,2,1568.05
2015,1,2,2,2039.64
2016,1,2,2,1203.47
2017,1,2,2,2727.09
2018,1,2,2,2938.58
2019,1,2,2,2978.09
2020,1,2,2,3850.44
2021,1,2,2,5426.6
1952,1,3,2,0
1953,1,3,2,0
1954,1,3,2,0
1955,1,3,2,0
1956,1,3,2,0
1957,1,3,2,0
1958,1,3,2,0
1959,1,3,2,0
1960,1,3,2,0
1961,1,3,2,0
1962,1,3,2,0
1963,1,3,2,0
1964,1,3,2,0
1965,1,3,2,0
1966,1,3,2,0
1967,1,3,2,0
1968,1,3,2,0
1969,1,3,2,0
1970,1,3,2,0
1971,1,3,2,0
1972,1,3,2,0
1973,1,3,2,0
1974,1,3,2,0
1975,1,3,2,0
1976,1,3,2,0
1977,1,3,2,0
1978,1,3,2,0
1979,1,3,2,0
1980,1,3,2,0
1981,1,3,2,0
1982,1,3,2,0
1983,1,3,2,0
1984,1,3,2,0
1985,1,3,2,0
1986,1,3,2,0
1987,1,3,2,0
1988,1,3,2,0
1989,1,3,2,0
1990,1,3,2,0
1991,1,3,2,783.238
1992,1,3,2,545.745
1993,1,3,2,902.469
1994,1,3,2,765.807
1995,1,3,2,1003.37
1996,1,3,2,692.081
1997,1,3,2,1061.42
1998,1,3,2,862.739
1999,1,3,2,935.387
2000,1,3,2,806.723
2001,1,3,2,805.561
2002,1,3,2,679.244
2003,1,3,2,1250.81
2004,1,3,2,953.147
2005,1,3,2,1551.8
2006,1,3,2,1059.64
2007,1,3,2,1078.61
2008,1,3,2,1679.26
2009,1,3,2,896.766
2010,1,3,2,1139.31
2011,1,3,2,1592.76
2012,1,3,2,1324.8
2013,1,3,2,1460.77
2014,1,3,2,1324.12
2015,1,3,2,1863.04
2016,1,3,2,2163.3
2017,1,3,2,1844.11
2018,1,3,2,1638.21
2019,1,3,2,1709.56
2020,1,3,2,1916.17
2021,1,3,2,1988.22
1952,1,4,3,879.239
1953,1,4,3,638.326
1954,1,4,3,535.187
1955,1,4,3,1187.46
1956,1,4,3,1301.52
1957,1,4,3,3122.57
1958,1,4,3,3034.24
1959,1,4,3,5172.42
1960,1,4,3,3233.92
1961,1,4,3,2306.39
1962,1,4,3,1730.67
1963,1,4,3,2327.58
1964,1,4,3,2349.32
1965,1,4,3,1878.79
1966,1,4,3,1888.18
1967,1,4,3,1610.54
1968,1,4,3,1470.88
1969,1,4,3,3078.74
1970,1,4,3,1173.02
1971,1,4,3,898.04
1972,1,4,3,4387.53
1973,1,4,3,1480.5
1974,1,4,3,1535.33
1975,1,4,3,3872.47
1976,1,4,3,2122.57
1977,1,4,3,3411.31
1978,1,4,3,2241.45
1979,1,4,3,3519.66
1980,1,4,3,2672.8
1981,1,4,3,2178.85
1982,1,4,3,2064.87
1983,1,4,3,1430.6
1984,1,4,3,2095.14
1985,1,4,3,3023.36
1986,1,4,3,1452.48
1987,1,4,3,1566.85
1988,1,4,3,2235.01
1989,1,4,3,1898.7
1990,1,4,3,5083.6
1991,1,4,3,2052.26
1992,1,4,3,2422.49
1993,1,4,3,1719.31
1994,1,4,3,1748.62
1995,1,4,3,1889.87
1996,1,4,3,1647.66
1997,1,4,3,1538.1
1998,1,4,3,1350.21
1999,1,4,3,2547.72
2000,1,4,3,2230.97
2001,1,4,3,1594.05
2002,1,4,3,1923.94
2003,1,4,3,1259.88
2004,1,4,3,1960.09
2005,1,4,3,1624.94
2006,1,4,3,1480.93
2007,1,4,3,1462.08
2008,1,4,3,1202.11
2009,1,4,3,1344.25
2010,1,4,3,947.285
2011,1,4,3,1255.08
2012,1,4,3,985.749
2013,1,4,3,542.944
2014,1,4,3,1267.99
2015,1,4,3,1798.95
2016,1,4,3,308.178
2017,1,4,3,704.054
2018,1,4,3,956.557
2019,1,4,3,820.398
2020,1,4,3,892.065
